run_id,pod_name,submitted_ts,scheduled_ts,running_ts,job_start_ts
66c2d8f1-0f2c-4852-b5cd-058b4986e2de,dagster-run-66c2d8f1-0f2c-4852-b5cd-058b4986e2de-5zw9c,2026-04-30T13:59:29+00:00,2026-04-30T13:59:29+00:00,2026-04-30T13:59:29+00:00,2026-04-30T14:00:56+00:00
6ad10d07-584f-4270-b749-09f2aa0abae5,dagster-run-6ad10d07-584f-4270-b749-09f2aa0abae5-vg2dr,2026-04-30T14:23:18+00:00,2026-04-30T14:23:18+00:00,2026-04-30T14:23:18+00:00,2026-04-30T14:25:15+00:00
6aede7aa-02a2-4052-9226-8ca31fcb1049,dagster-run-6aede7aa-02a2-4052-9226-8ca31fcb1049-rzm9q,2026-04-30T14:19:20+00:00,2026-04-30T14:19:20+00:00,2026-04-30T14:19:20+00:00,2026-04-30T14:21:18+00:00
6c483ddf-a65a-4f25-96d6-389bfdebf55a,dagster-run-6c483ddf-a65a-4f25-96d6-389bfdebf55a-gkn5b,2026-04-30T14:11:02+00:00,2026-04-30T14:11:02+00:00,2026-04-30T14:11:02+00:00,2026-04-30T14:12:33+00:00
6d6c1069-6631-4650-96fa-866ecaae9353,dagster-run-6d6c1069-6631-4650-96fa-866ecaae9353-pjrzs,2026-04-30T14:03:16+00:00,2026-04-30T14:03:16+00:00,2026-04-30T14:03:16+00:00,2026-04-30T14:04:49+00:00
7548b5c4-3f55-4b19-803e-028dcd372ca9,dagster-run-7548b5c4-3f55-4b19-803e-028dcd372ca9-j7njn,2026-04-30T14:15:01+00:00,2026-04-30T14:15:01+00:00,2026-04-30T14:15:01+00:00,2026-04-30T14:16:40+00:00
7812138d-42e0-4ba0-bf32-3bad8634df95,dagster-run-7812138d-42e0-4ba0-bf32-3bad8634df95-wmgtt,2026-04-30T13:59:30+00:00,2026-04-30T13:59:30+00:00,2026-04-30T13:59:30+00:00,2026-04-30T14:00:57+00:00
7e20acd2-7ba2-4cca-ad95-95ecdfb421ed,dagster-run-7e20acd2-7ba2-4cca-ad95-95ecdfb421ed-bbrtn,2026-04-30T14:27:19+00:00,2026-04-30T14:27:19+00:00,2026-04-30T14:27:19+00:00,2026-04-30T14:29:27+00:00
7ed6f32b-76c3-467b-b9b5-62b1893ed2f0,dagster-run-7ed6f32b-76c3-467b-b9b5-62b1893ed2f0-s89ds,2026-04-30T14:31:47+00:00,2026-04-30T14:31:47+00:00,2026-04-30T14:31:47+00:00,2026-04-30T14:33:55+00:00
837e7ef6-4925-4ff6-ba48-dd1bcbbe2bce,dagster-run-837e7ef6-4925-4ff6-ba48-dd1bcbbe2bce-8ndrf,2026-04-30T13:51:58+00:00,2026-04-30T13:51:58+00:00,2026-04-30T13:51:58+00:00,2026-04-30T13:53:28+00:00
8527cdb1-4152-4eb6-b73b-cd05de5a5175,dagster-run-8527cdb1-4152-4eb6-b73b-cd05de5a5175-qbb7q,2026-04-30T13:55:43+00:00,2026-04-30T13:55:43+00:00,2026-04-30T13:55:43+00:00,2026-04-30T13:57:12+00:00
